Bacteria,1.82E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,6.77E-11
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,9.4E-11
Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Porphyromonadaceae;Parabacteroides,4.35E-11
Bacteria;Bacteroidetes,2.18E-12
Bacteria;Firmicutes;Clostridia;Clostridiales,6.12E-11
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillaceae 1;Geobacillus,6.19E-11
Bacteria;Firmicutes;Clostridia;Clostridiales,3.91E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,2.91E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,1.28E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,4.97E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,9.63E-12
Bacteria,8.41E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,6.18E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,4.46E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,5.47E-11
Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Bacteroides,2.48E-11
Bacteria;Firmicutes;Clostridia;Clostridiales,7.32E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,2.33E-11
Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Bacteroides,7.22E-11
Bacteria;Firmicutes,9.75E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,7.16E-11
Bacteria,3.91E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,8.68E-11
Bacteria;Firmicutes,3.83E-11
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,4.51E-12
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium,6.44E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,5.19E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium,9.22E-11
Bacteria,8.88E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium,9.71E-11
Bacteria,2.99E-11
Bacteria,9.42E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae,5.2E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae Incertae Sedis,2.46E-11
Bacteria,7.76E-11
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales,8.58E-11
Bacteria;Firmicutes;Clostridia;Clostridiales,3.84E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,3.52E-11
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae,6.24E-11
Bacteria;Firmicutes,4.44E-11
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,6.19E-11
Bacteria,1.35E-11
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae Incertae Sedis,3.06E-11
Bacteria;Firmicutes;Clostridia;Clostridiales,6.67E-12
