Bacteria,1.29E-06
Bacteria,4.83E-11
Bacteria,1.90E-05
Bacteria,4.59E-06
Bacteria,5.09E-11
Bacteria,2.47E-06
Bacteria,1.63E-03
Bacteria,1.64E-04
Bacteria,5.18E-05
Bacteria,2.15E-04
Bacteria,9.86E-06
Bacteria,5.03E-11
Bacteria,8.49E-07
Bacteria,4.85E-11
Bacteria,1.18E-06
Bacteria,1.38E-05
Bacteria,7.03E-07
Bacteria,8.49E-07
Bacteria,1.35E-06
Bacteria,2.29E-06
Bacteria,1.96E-07
Bacteria,5.23E-11
Bacteria,4.49E-07
Bacteria,8.83E-06
Bacteria,7.57E-07
Bacteria,1.78E-05
Bacteria,4.97E-11
Bacteria,1.96E-07
Bacteria,8.05E-07
Bacteria,8.46E-06
Bacteria,4.97E-11
Bacteria,7.58E-06
Bacteria,3.35E-07
Bacteria,1.02E-06
Bacteria,8.64E-06
Bacteria,1.29E-05
Bacteria,1.85E-06
Bacteria,7.26E-07
Bacteria,7.02E-07
Bacteria,5.21E-11
Bacteria,6.54E-07
Bacteria,1.90E-04
Bacteria,8.60E-06
Bacteria,1.97E-05
Bacteria,7.14E-07
Bacteria,9.49E-06
Bacteria,3.17E-05
Bacteria,1.59E-06
Bacteria,2.80E-05
Bacteria,1.77E-06
Bacteria,2.31E-06
Bacteria,7.03E-07
Bacteria,1.84E-06
Bacteria,9.60E-07
Bacteria,8.27E-06
Bacteria,3.49E-06
Bacteria,1.27E-06
Bacteria,6.03E-07
Bacteria,1.70E-04
Bacteria,1.26E-05
Bacteria,8.94E-07
Bacteria,1.01E-06
Bacteria,7.85E-07
Bacteria,2.66E-05
Bacteria,4.94E-05
Bacteria,7.99E-06
Bacteria,5.53E-06
Bacteria,7.24E-06
Bacteria,5.62E-06
Bacteria,1.41E-06
Bacteria,4.58E-07
Bacteria,1.03E-05
Bacteria,4.81E-11
Bacteria,1.37E-06
Bacteria,5.12E-11
Bacteria,1.06E-06
Bacteria,3.73E-05
Bacteria,4.73E-04
Bacteria,5.04E-06
Bacteria,8.41E-07
Bacteria,7.09E-07
Bacteria,5.01E-11
Bacteria,3.40E-07
Bacteria,1.09E-05
Bacteria,1.11E-05
Bacteria,4.21E-04
Bacteria,5.30E-07
Bacteria,5.38E-07
Bacteria,1.10E-05
Bacteria,3.40E-07
Bacteria,7.83E-07
Bacteria,5.08E-11
Bacteria,5.03E-11
Bacteria,7.16E-06
Bacteria,1.47E-06
Bacteria,6.86E-05
Bacteria,4.95E-11
Bacteria,1.52E-05
Bacteria,4.96E-06
Bacteria,5.12E-11
Bacteria,1.41E-05
Bacteria,6.84E-04
Bacteria,5.85E-07
Bacteria,1.31E-06
Bacteria,7.52E-06
Bacteria,3.62E-06
Bacteria,5.77E-07
Bacteria,5.02E-07
Bacteria,6.89E-06
Bacteria,5.06E-11
Bacteria,6.35E-07
Bacteria,1.36E-06
Bacteria,9.53E-07
Bacteria,4.06E-06
Bacteria,1.07E-07
Bacteria,6.75E-06
Bacteria,5.62E-07
Bacteria,4.96E-11
Bacteria,1.32E-07
Bacteria,5.27E-07
Bacteria,1.26E-06
Bacteria,8.07E-06
Bacteria,1.07E-06
Bacteria,5.34E-06
Bacteria,4.84E-06
Bacteria,1.37E-06
Bacteria,1.60E-06
Bacteria,1.74E-05
Bacteria,6.13E-06
Bacteria,4.99E-11
Bacteria,6.67E-07
Bacteria,5.15E-11
Bacteria,3.67E-06
Bacteria,9.88E-07
Bacteria,2.80E-06
Bacteria,2.68E-05
Bacteria,6.95E-06
Bacteria,4.95E-11
Bacteria,4.46E-06
